WE(1).Potential (V)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)
0.053680419921875	-1.8408203125E-06	-3.64501953125E-08	-2.23602294921875E-08	-1.65679931640625E-08	-1.86859130859375E-08	-2.08984375E-08	-2.593994140625E-08	-3.36944580078125E-08	-4.4952392578125E-08	-6.207275390625E-08	-9.466552734375E-08	-1.35955810546875E-07	-1.70135498046875E-07	-1.91070556640625E-07
0.056121826171875	-1.81640625E-06	-3.62060546875E-08	-1.8817138671875E-08	-1.5570068359375E-08	-1.680908203125E-08	-1.939697265625E-08	-2.5286865234375E-08	-3.27178955078125E-08	-4.3060302734375E-08	-6.231689453125E-08	-9.4482421875E-08	-1.35589599609375E-07	-1.69677734375E-07	-1.90460205078125E-07
0.058502197265625	-1.7901611328125E-06	-3.61968994140625E-08	-1.8341064453125E-08	-1.38397216796875E-08	-1.58111572265625E-08	-1.97357177734375E-08	-2.36480712890625E-08	-3.201904296875E-08	-4.400634765625E-08	-6.195068359375E-08	-9.41162109375E-08	-1.35345458984375E-07	-1.69281005859375E-07	-1.89849853515625E-07
0.061004638671875	-1.761474609375E-06	-3.64501953125E-08	-1.59759521484375E-08	-1.59759521484375E-08	-1.4227294921875E-08	-1.88507080078125E-08	-2.47314453125E-08	-3.16009521484375E-08	-4.315185546875E-08	-6.146240234375E-08	-9.3780517578125E-08	-1.34918212890625E-07	-1.68914794921875E-07	-1.8927001953125E-07
0.063385009765625	-1.7401123046875E-06	-3.2940673828125E-08	-1.84478759765625E-08	-1.38946533203125E-08	-1.41754150390625E-08	-1.78863525390625E-08	-2.38494873046875E-08	-3.2257080078125E-08	-4.2633056640625E-08	-6.0760498046875E-08	-9.3780517578125E-08	-1.34613037109375E-07	-1.6851806640625E-07	-1.88690185546875E-07
0.06585693359375	-1.71356201171875E-06	-3.165283203125E-08	-1.55487060546875E-08	-1.3671875E-08	-1.47430419921875E-08	-1.69921875E-08	-2.20672607421875E-08	-3.060302734375E-08	-4.2724609375E-08	-6.0638427734375E-08	-9.3231201171875E-08	-1.3427734375E-07	-1.68121337890625E-07	-1.88018798828125E-07
0.06829833984375	-1.6925048828125E-06	-2.92877197265625E-08	-1.26129150390625E-08	-1.17706298828125E-08	-1.21429443359375E-08	-1.64215087890625E-08	-2.13775634765625E-08	-2.9248046875E-08	-4.1534423828125E-08	-6.0699462890625E-08	-9.3414306640625E-08	-1.3397216796875E-07	-1.67694091796875E-07	-1.87469482421875E-07
0.070770263671875	-1.6693115234375E-06	-2.845458984375E-08	-1.348876953125E-08	-8.8043212890625E-09	-1.21307373046875E-08	-1.524658203125E-08	-2.15850830078125E-08	-2.9010009765625E-08	-4.180908203125E-08	-6.04248046875E-08	-9.2559814453125E-08	-1.3360595703125E-07	-1.67266845703125E-07	-1.86859130859375E-07
0.0732421875	-1.6485595703125E-06	-2.6763916015625E-08	-1.181640625E-08	-8.892822265625E-09	-9.3109130859375E-09	-1.48956298828125E-08	-2.15118408203125E-08	-2.841796875E-08	-4.0924072265625E-08	-5.9539794921875E-08	-9.2681884765625E-08	-1.33270263671875E-07	-1.668701171875E-07	-1.8621826171875E-07
0.075592041015625	-1.62689208984375E-06	-2.60986328125E-08	-8.7677001953125E-09	-7.8155517578125E-09	-9.78698730468749E-09	-1.35223388671875E-08	-1.98455810546875E-08	-2.921142578125E-08	-4.022216796875E-08	-5.8837890625E-08	-9.210205078125E-08	-1.3287353515625E-07	-1.663818359375E-07	-1.85638427734375E-07
